title,pmid
Gastrointestinal cancer classification and prognostication from histology using deep learning: Systematic review,No PMID found
Machine learning predictive model for severe COVID-19,35810072
Reproducible and clinically translatable deep neural networks for cervical screening,36909463
REPRODUCIBLE AND CLINICALLY TRANSLATABLE DEEP NEURAL NETWORKS FOR CANCER SCREENING,38066031
A reliable and valid questionnaire was developed to measure computer vision syndrome at the workplace,38026296
Using natural language processing to characterize and predict homeopathic product-associated adverse events in consumer reviews: comparison to reports to FDA Adverse Event Reporting System (FAERS),37986619
Discovery of drug-omics associations in type 2 diabetes with generative deep-learning models,37130959
Generative artificial intelligence performs rudimentary structural biology modeling,38293060
Transformer-based biomarker prediction from colorectal cancer histology: A large-scale multicentric study,37652005
Trial of Lixisenatide in Early Parkinson's Disease,39222514
A Population-Based Study of Genes Previously Implicated in Breast Cancer,33471975
Development of a liver disease-specific large language model chat interface using retrieval-augmented generation,37986764
Familial hypercholesterolaemia in children and adolescents from 48 countries: a cross-sectional study,39002991
The origin of Palestinians and their genetic relatedness with other Mediterranean populations,11600210
